exp_a,exp_b,trial_id,expertise_a,expertise_b,original_distance,original_nld
139,86,5,low,high,235.0,0.8103448275862069
139,87,5,low,high,208.0,0.8253968253968254
140,80,5,low,high,113.0,0.8828125
140,68,5,low,high,140.0,0.8860759493670886
140,82,5,low,high,160.0,0.8556149732620321
140,118,5,low,high,118.0,0.921875
140,178,5,low,high,150.0,0.9375
140,87,5,low,high,224.0,0.8888888888888888
140,69,5,low,high,294.0,0.930379746835443
140,86,5,low,high,267.0,0.9206896551724137
164,80,5,low,high,191.0,0.9052132701421801
164,48,5,low,high,188.0,0.8909952606635071
164,68,5,low,high,195.0,0.9241706161137441
164,118,5,low,high,190.0,0.9004739336492891
164,82,5,low,high,200.0,0.9478672985781991
164,178,5,low,high,191.0,0.9052132701421801
164,69,5,low,high,294.0,0.930379746835443
164,86,5,low,high,267.0,0.9206896551724137
164,87,5,low,high,225.0,0.8928571428571429
170,48,5,low,high,309.0,0.9566563467492261
170,68,5,low,high,260.0,0.804953560371517
170,80,5,low,high,308.0,0.9535603715170279
170,118,5,low,high,271.0,0.8390092879256966
170,82,5,low,high,297.0,0.9195046439628483
170,178,5,low,high,280.0,0.8668730650154799
170,69,5,low,high,302.0,0.934984520123839
176,48,5,low,high,393.0,0.9632352941176471
170,87,5,low,high,274.0,0.848297213622291
176,68,5,low,high,355.0,0.8700980392156863
176,80,5,low,high,388.0,0.9509803921568627
170,86,5,low,high,287.0,0.8885448916408669
176,118,5,low,high,354.0,0.8676470588235294
176,82,5,low,high,390.0,0.9558823529411765
176,178,5,low,high,369.0,0.9044117647058824
179,48,5,low,high,437.0,0.8792756539235412
176,69,5,low,high,310.0,0.7598039215686274
179,68,5,low,high,468.0,0.9416498993963782
179,80,5,low,high,464.0,0.9336016096579477
176,87,5,low,high,355.0,0.8700980392156863
176,86,5,low,high,334.0,0.8186274509803921
180,48,5,low,high,148.0,0.9487179487179487
180,68,5,low,high,151.0,0.9556962025316456
179,118,5,low,high,469.0,0.9436619718309859
180,80,5,low,high,140.0,0.8974358974358975
179,82,5,low,high,435.0,0.8752515090543259
180,82,5,low,high,156.0,0.8342245989304813
179,178,5,low,high,462.0,0.9295774647887324
180,69,5,low,high,292.0,0.9240506329113924
180,118,5,low,high,146.0,0.9358974358974359
179,69,5,low,high,450.0,0.9054325955734407
180,178,5,low,high,154.0,0.9625
180,87,5,low,high,230.0,0.9126984126984127
180,86,5,low,high,272.0,0.9379310344827586
179,87,5,low,high,467.0,0.9396378269617707
182,48,5,low,high,261.0,0.9321428571428572
179,86,5,low,high,464.0,0.9336016096579477
182,80,5,low,high,259.0,0.925
182,68,5,low,high,271.0,0.9678571428571429
182,118,5,low,high,270.0,0.9642857142857143
182,82,5,low,high,246.0,0.8785714285714286
182,178,5,low,high,271.0,0.9678571428571429
182,87,5,low,high,272.0,0.9714285714285714
182,69,5,low,high,299.0,0.9462025316455697
200,48,5,low,high,225.0,0.9782608695652174
200,80,5,low,high,212.0,0.9217391304347826
182,86,5,low,high,282.0,0.9724137931034482
200,68,5,low,high,213.0,0.9260869565217391
200,118,5,low,high,219.0,0.9521739130434783
200,82,5,low,high,200.0,0.8695652173913043
200,178,5,low,high,221.0,0.9608695652173913
208,48,5,low,high,228.0,0.8702290076335878
200,69,5,low,high,298.0,0.9430379746835443
208,68,5,low,high,248.0,0.9465648854961832
208,80,5,low,high,241.0,0.9198473282442748
200,87,5,low,high,247.0,0.9801587301587301
200,86,5,low,high,266.0,0.9172413793103448
208,118,5,low,high,237.0,0.9045801526717557
208,82,5,low,high,234.0,0.8931297709923665
208,178,5,low,high,237.0,0.9045801526717557
208,69,5,low,high,301.0,0.9525316455696202
208,86,5,low,high,276.0,0.9517241379310345
208,87,5,low,high,249.0,0.950381679389313
