exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,code_a,code_b,Shape,Direction,Length,Position,Duration
30,48,Beginner,Beginner,r1,r2,c3,c3,0.9858866678002941,0.7950234109454639,0.9832169209115487,0.9398335823396985,0.6644736842105263
30,52,Beginner,Beginner,r1,r2,c3,c3,0.9835069535681888,0.8590591503767167,0.9827120316859886,0.950471910587227,0.7248322147651007
33,30,Beginner,Beginner,r1,r2,c1,c1,0.9899895082427685,0.9278288831145042,0.9882484237016784,0.8780053691767379,0.7196481528942262
33,37,Beginner,Beginner,r1,r2,c1,c1,0.9903737749162295,0.9008297376526062,0.988344804354732,0.9059386304122155,0.66796875
33,38,Beginner,Beginner,r1,r2,c1,c1,0.986433460595189,0.8713242943663912,0.9880994609325214,0.8504491582114213,0.7140854585374092
33,39,Beginner,Beginner,r1,r2,c1,c1,0.9915237467500952,0.9172180220008133,0.9885795393580539,0.9088513776398843,0.6882519812680116
33,43,Beginner,Beginner,r1,r2,c1,c1,0.9897202770234936,0.9047781912273193,0.9877802826691815,0.9402860524419383,0.6360759493670887
33,47,Beginner,Beginner,r1,r2,c1,c1,0.987569270835645,0.8832416355831147,0.9846802284843593,0.9042217999401292,0.7433921912700153
33,50,Beginner,Beginner,r1,r2,c1,c1,0.9915145190263683,0.9322913927260161,0.9908845061535081,0.8191327105113183,0.7419354838709677
33,9,Beginner,Beginner,r1,r2,c1,c1,0.9903919192540823,0.8932460025124704,0.9881529896847021,0.9322185045995922,0.7166702729436494
36,30,Beginner,Beginner,r1,r2,c1,c1,0.9872472299105459,0.6942655632055827,0.9798658117048085,0.8614228337805272,0.7054263565891472
36,37,Beginner,Beginner,r1,r2,c1,c1,0.9886704425736296,0.7985423138797261,0.9814962526670615,0.9218559688805614,0.6264367816091955
36,38,Beginner,Beginner,r1,r2,c1,c1,0.9824421997809836,0.6993536228631341,0.9796090110324729,0.929718048265357,0.7510729613733904
36,39,Beginner,Beginner,r1,r2,c1,c1,0.9878958801964811,0.6818202576354735,0.9816049118052252,0.9286913915483034,0.5207373271889402
36,43,Beginner,Beginner,r1,r2,c1,c1,0.98402241660091,0.5710884030345276,0.9739312102051119,0.9084035914799964,0.6075018939006163
36,47,Beginner,Beginner,r1,r2,c1,c1,0.9827830696588304,0.6822649352545171,0.9769708353687147,0.9302954962349975,0.607142857142857
36,50,Beginner,Beginner,r1,r2,c1,c1,0.9875826855822976,0.5306419505928174,0.9786691828580251,0.9289387341774835,0.6584677724759525
36,9,Beginner,Beginner,r1,r2,c1,c1,0.9870650920372885,0.7211622096853285,0.9798187910214339,0.8996013536307507,0.6707317073170731
37,16,Beginner,Beginner,r1,r2,c2,c2,0.9853242093775522,0.8508942356560563,0.9848352391323941,0.8531384224322492,0.7265119320039228
37,26,Beginner,Beginner,r1,r2,c2,c2,0.9897157838949364,0.9173393608349976,0.986253223679668,0.9403211293690982,0.763888888888889
37,29,Beginner,Beginner,r1,r2,c2,c2,0.9862129136931153,0.8623290057034266,0.9842997184207709,0.8920036795718288,0.7538430623932483
37,36,Beginner,Beginner,r1,r2,c2,c2,0.9889487773979407,0.8623038596960699,0.9851176807205658,0.9409972100098882,0.7537688442211055
