exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score,source_file
80,107,rectangle,high,low,194.0,0.9326923076923076,Java_high_Java_low_results.csv
80,64,rectangle,high,low,343.0,0.929539295392954,Java_high_Java_low_results.csv
80,101,rectangle,high,low,148.0,0.9367088607594936,Java_high_Java_low_results.csv
69,162,rectangle,high,low,270.0,0.9507042253521126,Java_high_Java_low_results.csv
80,104,rectangle,high,low,258.0,0.908450704225352,Java_high_Java_low_results.csv
80,79,rectangle,high,low,239.0,0.9053030303030304,Java_high_Java_low_results.csv
80,140,rectangle,high,low,113.0,0.8828125,Java_high_Java_low_results.csv
80,128,rectangle,high,low,218.0,0.897119341563786,Java_high_Java_low_results.csv
69,132,rectangle,high,low,368.0,0.8997555012224939,Java_high_Java_low_results.csv
80,138,rectangle,high,low,150.0,0.9316770186335404,Java_high_Java_low_results.csv
80,164,rectangle,high,low,191.0,0.90521327014218,Java_high_Java_low_results.csv
80,126,rectangle,high,low,266.0,0.8926174496644296,Java_high_Java_low_results.csv
80,124,rectangle,high,low,197.0,0.9036697247706422,Java_high_Java_low_results.csv
69,179,rectangle,high,low,430.0,0.8651911468812877,Java_high_Java_low_results.csv
80,77,rectangle,high,low,327.0,0.9289772727272728,Java_high_Java_low_results.csv
69,176,rectangle,high,low,443.0,0.878968253968254,Java_high_Java_low_results.csv
80,180,rectangle,high,low,140.0,0.8974358974358975,Java_high_Java_low_results.csv
80,200,rectangle,high,low,212.0,0.9217391304347826,Java_high_Java_low_results.csv
80,208,rectangle,high,low,241.0,0.9198473282442748,Java_high_Java_low_results.csv
80,186,rectangle,high,low,209.0,0.9126637554585152,Java_high_Java_low_results.csv
80,162,rectangle,high,low,237.0,0.8977272727272727,Java_high_Java_low_results.csv
82,27,rectangle,high,low,170.0,0.9090909090909092,Java_high_Java_low_results.csv
80,176,rectangle,high,low,470.0,0.9325396825396826,Java_high_Java_low_results.csv
82,29,rectangle,high,low,162.0,0.8663101604278075,Java_high_Java_low_results.csv
80,179,rectangle,high,low,464.0,0.9336016096579476,Java_high_Java_low_results.csv
82,35,rectangle,high,low,164.0,0.8770053475935828,Java_high_Java_low_results.csv
80,182,rectangle,high,low,259.0,0.925,Java_high_Java_low_results.csv
82,65,rectangle,high,low,177.0,0.946524064171123,Java_high_Java_low_results.csv
82,13,rectangle,high,low,230.0,0.9019607843137256,Java_high_Java_low_results.csv
82,56,rectangle,high,low,152.0,0.8128342245989305,Java_high_Java_low_results.csv
80,132,rectangle,high,low,387.0,0.9462102689486552,Java_high_Java_low_results.csv
82,44,rectangle,high,low,159.0,0.8502673796791443,Java_high_Java_low_results.csv
82,71,rectangle,high,low,173.0,0.9251336898395722,Java_high_Java_low_results.csv
82,31,rectangle,high,low,239.0,0.8566308243727598,Java_high_Java_low_results.csv
82,74,rectangle,high,low,163.0,0.8716577540106952,Java_high_Java_low_results.csv
82,21,rectangle,high,low,280.0,0.8832807570977917,Java_high_Java_low_results.csv
82,67,rectangle,high,low,173.0,0.9251336898395722,Java_high_Java_low_results.csv
82,41,rectangle,high,low,272.0,0.8553459119496856,Java_high_Java_low_results.csv
82,37,rectangle,high,low,200.0,0.9174311926605504,Java_high_Java_low_results.csv
82,43,rectangle,high,low,170.0,0.9090909090909092,Java_high_Java_low_results.csv
82,94,rectangle,high,low,181.0,0.9679144385026738,Java_high_Java_low_results.csv
82,101,rectangle,high,low,175.0,0.9358288770053476,Java_high_Java_low_results.csv
82,78,rectangle,high,low,193.0,0.8283261802575107,Java_high_Java_low_results.csv
82,79,rectangle,high,low,220.0,0.8333333333333334,Java_high_Java_low_results.csv
82,60,rectangle,high,low,199.0,0.77734375,Java_high_Java_low_results.csv
82,34,rectangle,high,low,215.0,0.8884297520661157,Java_high_Java_low_results.csv
82,107,rectangle,high,low,193.0,0.9278846153846154,Java_high_Java_low_results.csv
82,104,rectangle,high,low,251.0,0.8838028169014085,Java_high_Java_low_results.csv
82,124,rectangle,high,low,202.0,0.926605504587156,Java_high_Java_low_results.csv
82,128,rectangle,high,low,207.0,0.8518518518518519,Java_high_Java_low_results.csv
82,138,rectangle,high,low,174.0,0.93048128342246,Java_high_Java_low_results.csv
82,99,rectangle,high,low,168.0,0.8983957219251337,Java_high_Java_low_results.csv
82,126,rectangle,high,low,269.0,0.9026845637583892,Java_high_Java_low_results.csv
82,140,rectangle,high,low,160.0,0.8556149732620321,Java_high_Java_low_results.csv
82,164,rectangle,high,low,200.0,0.9478672985781992,Java_high_Java_low_results.csv
82,64,rectangle,high,low,345.0,0.934959349593496,Java_high_Java_low_results.csv
82,162,rectangle,high,low,232.0,0.8787878787878788,Java_high_Java_low_results.csv
82,63,rectangle,high,low,251.0,0.8932384341637011,Java_high_Java_low_results.csv
82,180,rectangle,high,low,156.0,0.8342245989304813,Java_high_Java_low_results.csv
82,186,rectangle,high,low,197.0,0.8602620087336245,Java_high_Java_low_results.csv
82,132,rectangle,high,low,375.0,0.9168704156479216,Java_high_Java_low_results.csv
82,200,rectangle,high,low,200.0,0.8695652173913043,Java_high_Java_low_results.csv
82,208,rectangle,high,low,234.0,0.8931297709923665,Java_high_Java_low_results.csv
82,77,rectangle,high,low,316.0,0.8977272727272727,Java_high_Java_low_results.csv
82,176,rectangle,high,low,440.0,0.873015873015873,Java_high_Java_low_results.csv
82,179,rectangle,high,low,435.0,0.8752515090543259,Java_high_Java_low_results.csv
82,182,rectangle,high,low,246.0,0.8785714285714286,Java_high_Java_low_results.csv
86,65,rectangle,high,low,538.0,0.9693693693693692,Java_high_Java_low_results.csv
86,29,rectangle,high,low,508.0,0.9153153153153152,Java_high_Java_low_results.csv
86,27,rectangle,high,low,515.0,0.927927927927928,Java_high_Java_low_results.csv
86,56,rectangle,high,low,506.0,0.9117117117117116,Java_high_Java_low_results.csv
86,43,rectangle,high,low,520.0,0.9369369369369368,Java_high_Java_low_results.csv
86,44,rectangle,high,low,506.0,0.9117117117117116,Java_high_Java_low_results.csv
86,37,rectangle,high,low,516.0,0.9297297297297298,Java_high_Java_low_results.csv
86,34,rectangle,high,low,520.0,0.9369369369369368,Java_high_Java_low_results.csv
86,13,rectangle,high,low,498.0,0.8972972972972973,Java_high_Java_low_results.csv
86,35,rectangle,high,low,506.0,0.9117117117117116,Java_high_Java_low_results.csv
86,74,rectangle,high,low,526.0,0.9477477477477476,Java_high_Java_low_results.csv
86,71,rectangle,high,low,521.0,0.9387387387387388,Java_high_Java_low_results.csv
86,67,rectangle,high,low,512.0,0.9225225225225224,Java_high_Java_low_results.csv
86,60,rectangle,high,low,506.0,0.9117117117117116,Java_high_Java_low_results.csv
86,94,rectangle,high,low,523.0,0.9423423423423424,Java_high_Java_low_results.csv
86,99,rectangle,high,low,496.0,0.8936936936936937,Java_high_Java_low_results.csv
86,101,rectangle,high,low,503.0,0.9063063063063064,Java_high_Java_low_results.csv
86,63,rectangle,high,low,503.0,0.9063063063063064,Java_high_Java_low_results.csv
86,21,rectangle,high,low,503.0,0.9063063063063064,Java_high_Java_low_results.csv
86,107,rectangle,high,low,505.0,0.90990990990991,Java_high_Java_low_results.csv
