exp_a,exp_b,stimulus,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration,source_file
185,215,rectangle,medium,medium,0.9920463521998658,0.7457664179334772,0.989590047462202,0.9208870225574342,0.6521739130434783,Java_medium_results.csv
185,206,rectangle,medium,medium,0.9941247848015352,0.658013310141452,0.9921519204003572,0.925639753211901,0.6799999999999999,Java_medium_results.csv
171,215,rectangle,medium,medium,0.9934042704748672,0.6457633459613312,0.9914422811519086,0.8975905830572937,0.6,Java_medium_results.csv
185,212,rectangle,medium,medium,0.9933664910570724,0.6403061822649769,0.99223718034923,0.955721387757616,0.6314814814814815,Java_medium_results.csv
185,194,rectangle,medium,medium,0.9911785893048668,0.6102781950693907,0.9850308313815296,0.9084624478554568,0.6428571428571428,Java_medium_results.csv
185,214,rectangle,medium,medium,0.9919725287056556,0.6740980899890846,0.9897240252221502,0.9459805672201846,0.7142857142857142,Java_medium_results.csv
192,203,rectangle,medium,medium,0.992611148264282,0.6920236411527035,0.9909992563053432,0.9309885959250808,0.6348484848484849,Java_medium_results.csv
168,212,rectangle,medium,medium,0.9921569184992785,0.6326356880040727,0.987920449555229,0.9083695599792028,0.7083333333333334,Java_medium_results.csv
169,194,rectangle,medium,medium,0.9900606893314003,0.7051785898783749,0.986121497407665,0.9203647498801504,0.653846153846154,Java_medium_results.csv
185,192,rectangle,medium,medium,0.9940176426028,0.6854222941597137,0.9908904482866492,0.9052703594231124,0.6969696969696969,Java_medium_results.csv
168,206,rectangle,medium,medium,0.9926855079258924,0.7065631209295982,0.9909835292635242,0.9247114043532898,0.6923076923076923,Java_medium_results.csv
192,202,rectangle,medium,medium,0.9920255616499568,0.6995721464163994,0.9883480965217426,0.8538974523998724,0.6428571428571428,Java_medium_results.csv
168,194,rectangle,medium,medium,0.9911269990602936,0.7072478537837239,0.9882402181899222,0.9190377593857478,0.6969696969696969,Java_medium_results.csv
192,212,rectangle,medium,medium,0.9923753715340252,0.6915813813893155,0.9895275758379712,0.934917953017002,0.625,Java_medium_results.csv
151,206,rectangle,medium,medium,0.99407530176151,0.7347713489682042,0.9934318240643192,0.9217081654489856,0.6969696969696969,Java_medium_results.csv
192,215,rectangle,medium,medium,0.9925920653296736,0.7282403683001649,0.989559225305522,0.9283178115174806,0.6521739130434783,Java_medium_results.csv
194,203,rectangle,medium,medium,0.990021762499356,0.6173117612983647,0.9836046127325728,0.8699100268626534,0.6787096774193548,Java_medium_results.csv
202,203,rectangle,medium,medium,0.9887340937098056,0.583604054202711,0.9833860162954736,0.8656407494829885,0.6756756756756758,Java_medium_results.csv
194,210,rectangle,medium,medium,0.9906973057163522,0.6159569318905569,0.9855850243236428,0.891245687814696,0.71875,Java_medium_results.csv
168,215,rectangle,medium,medium,0.9927137235996176,0.654890868682236,0.9899758933909364,0.923729268205957,0.7307692307692308,Java_medium_results.csv
192,210,rectangle,medium,medium,0.99329218863234,0.6814415712095749,0.9905953327155368,0.8972686688095984,0.6521739130434783,Java_medium_results.csv
192,206,rectangle,medium,medium,0.9928399954281056,0.7170339860368327,0.9907783620159456,0.9236942199633084,0.6363636363636365,Java_medium_results.csv
202,210,rectangle,medium,medium,0.9907235347287394,0.6918059957642785,0.9877998183058768,0.9402469215384368,0.6666666666666666,Java_medium_results.csv
202,215,rectangle,medium,medium,0.9907845590522312,0.7553356088411232,0.9883085764082972,0.9297946187630284,0.6216216216216217,Java_medium_results.csv
192,214,rectangle,medium,medium,0.9927526208470604,0.718859824479881,0.9911707861370234,0.9331562286043448,0.6589285714285713,Java_medium_results.csv
202,207,rectangle,medium,medium,0.9915069654370764,0.6913827416987113,0.9862648210242124,0.9088307932726776,0.6129032258064516,Java_medium_results.csv
203,212,rectangle,medium,medium,0.9902808429608,0.7167795180064266,0.9869707759045128,0.9141890268984446,0.6666666666666667,Java_medium_results.csv
203,206,rectangle,medium,medium,0.9931220961161372,0.5941908868551022,0.9918909129721694,0.881555892023028,0.7142857142857142,Java_medium_results.csv
202,206,rectangle,medium,medium,0.9922542389384272,0.6480715558391056,0.990424773246374,0.95693934678309,0.6666666666666667,Java_medium_results.csv
171,194,rectangle,medium,medium,0.9906469184695184,0.6203425102530556,0.9843524012643377,0.9105586723379008,0.6333333333333333,Java_medium_results.csv
203,207,rectangle,medium,medium,0.990631574734854,0.6638016997998187,0.9880516933346624,0.9042390773317408,0.6086956521739131,Java_medium_results.csv
169,206,rectangle,medium,medium,0.9917089159822124,0.7102388494413738,0.9893353404182896,0.9263755903988984,0.6129032258064516,Java_medium_results.csv
203,210,rectangle,medium,medium,0.9924875193026628,0.7094663075643592,0.9922082661642552,0.8911397544536562,0.7599999999999999,Java_medium_results.csv
203,214,rectangle,medium,medium,0.9902651056019436,0.6716717688179663,0.9852074273996848,0.896428823597355,0.7096774193548387,Java_medium_results.csv
203,215,rectangle,medium,medium,0.9894103280126062,0.6351868144062851,0.9873939381784964,0.92204913025253,0.6837662337662338,Java_medium_results.csv
202,212,rectangle,medium,medium,0.9918864776287678,0.7040309486430995,0.989071408699996,0.9468469789061614,0.6666666666666667,Java_medium_results.csv
207,210,rectangle,medium,medium,0.991906871620681,0.6785432256731592,0.9878893740460868,0.9318480410410684,0.6086956521739131,Java_medium_results.csv
192,194,rectangle,medium,medium,0.9914166159834578,0.7140103913335248,0.9888077451621498,0.9142224860812116,0.6551724137931034,Java_medium_results.csv
194,212,rectangle,medium,medium,0.9901328047656592,0.6214428292096863,0.986493231178312,0.9254121688654544,0.6799999999999999,Java_medium_results.csv
210,212,rectangle,medium,medium,0.9936773689852212,0.6488559036042787,0.9919321124876764,0.9424107554738748,0.7124060150375939,Java_medium_results.csv
207,212,rectangle,medium,medium,0.9914023177386556,0.7617788097015831,0.9879863792044828,0.9504724515717488,0.5862068965517242,Java_medium_results.csv
192,207,rectangle,medium,medium,0.9918484403716594,0.7026573574384547,0.99049067141481,0.9305368890240386,0.6097560975609756,Java_medium_results.csv
207,215,rectangle,medium,medium,0.9915144100360797,0.7217852814037369,0.988240192707858,0.9433775244211436,0.6,Java_medium_results.csv
210,215,rectangle,medium,medium,0.992157430078731,0.7607454324399496,0.988962264331195,0.9222485726085314,0.7142857142857142,Java_medium_results.csv
206,212,rectangle,medium,medium,0.9934364469074068,0.7130049443405893,0.9925473741431576,0.929106442672507,0.6818181818181819,Java_medium_results.csv
202,214,rectangle,medium,medium,0.9910075163860466,0.6931644533078551,0.9887629239071504,0.8774023773160807,0.6830143540669856,Java_medium_results.csv
168,214,rectangle,medium,medium,0.991916827046703,0.712796288050834,0.9891121454714656,0.9374101797832828,0.7083333333333334,Java_medium_results.csv
210,214,rectangle,medium,medium,0.9922074612062702,0.6796383042327118,0.9889735871869728,0.9210766103884058,0.7241379310344828,Java_medium_results.csv
194,214,rectangle,medium,medium,0.990528775626356,0.6985953119870902,0.9865975666769052,0.9236219278211212,0.6923076923076923,Java_medium_results.csv
206,210,rectangle,medium,medium,0.9941193488049384,0.6462013697363115,0.9907677208946776,0.9315073352846766,0.6956521739130435,Java_medium_results.csv
