exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,code_a,code_b,score
23,12,Intermediate,Intermediate,r1,r3,c3,c3,0.8394160583941606
23,18,Intermediate,Intermediate,r1,r3,c3,c3,0.8686131386861314
23,35,Intermediate,Intermediate,r1,r3,c3,c3,0.781021897810219
31,15,Intermediate,Intermediate,r1,r3,c1,c1,0.762962962962963
31,22,Intermediate,Intermediate,r1,r3,c1,c1,0.7407407407407407
31,42,Intermediate,Intermediate,r1,r3,c1,c1,0.8222222222222222
32,14,Intermediate,Intermediate,r1,r3,c1,c1,0.85
32,15,Intermediate,Intermediate,r1,r3,c1,c1,0.8428571428571429
32,22,Intermediate,Intermediate,r1,r3,c1,c1,0.8714285714285714
32,42,Intermediate,Intermediate,r1,r3,c1,c1,0.8857142857142857
34,19,Intermediate,Intermediate,r1,r3,c2,c2,0.8125
34,20,Intermediate,Intermediate,r1,r3,c2,c2,0.7625
35,14,Intermediate,Intermediate,r1,r3,c1,c1,0.8721804511278195
35,17,Intermediate,Intermediate,r1,r3,c1,c1,0.8195488721804511
35,45,Intermediate,Intermediate,r1,r3,c1,c1,0.8646616541353384
42,20,Intermediate,Intermediate,r1,r3,c2,c2,0.824
42,23,Intermediate,Intermediate,r1,r3,c2,c2,0.9145299145299145
42,31,Intermediate,Intermediate,r1,r3,c2,c2,0.8429752066115702
42,51,Intermediate,Intermediate,r1,r3,c2,c2,0.940677966101695
44,10,Intermediate,Intermediate,r1,r3,c3,c3,0.8116883116883117
44,12,Intermediate,Intermediate,r1,r3,c3,c3,0.7337662337662337
44,13,Intermediate,Intermediate,r1,r3,c3,c3,0.8311688311688312
44,32,Intermediate,Intermediate,r1,r3,c3,c3,0.7207792207792207
44,53,Intermediate,Intermediate,r1,r3,c3,c3,0.8701298701298701
45,13,Intermediate,Intermediate,r1,r3,c3,c3,0.8652482269503546
45,18,Intermediate,Intermediate,r1,r3,c3,c3,0.9078014184397163
45,53,Intermediate,Intermediate,r1,r3,c3,c3,0.8496732026143791
51,14,Intermediate,Intermediate,r1,r3,c1,c1,0.627906976744186
51,15,Intermediate,Intermediate,r1,r3,c1,c1,0.72
51,17,Intermediate,Intermediate,r1,r3,c1,c1,0.6910569105691057
51,21,Intermediate,Intermediate,r1,r3,c1,c1,0.7007874015748031
51,22,Intermediate,Intermediate,r1,r3,c1,c1,0.7230769230769231
