exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,code_a,code_b,score
40,9,Beginner,Beginner,r1,r2,c1,c1,0.8943661971830986
41,16,Beginner,Beginner,r1,r2,c2,c2,0.813953488372093
41,26,Beginner,Beginner,r1,r2,c2,c2,0.8671328671328671
41,29,Beginner,Beginner,r1,r2,c2,c2,0.8449612403100775
41,36,Beginner,Beginner,r1,r2,c2,c2,0.7674418604651163
43,26,Beginner,Beginner,r1,r2,c2,c2,0.8111888111888111
43,29,Beginner,Beginner,r1,r2,c2,c2,0.8984375
43,36,Beginner,Beginner,r1,r2,c2,c2,0.7804878048780488
43,46,Beginner,Beginner,r1,r2,c2,c2,0.8650793650793651
46,24,Beginner,Beginner,r1,r2,c3,c3,0.744
46,25,Beginner,Beginner,r1,r2,c3,c3,0.71875
46,28,Beginner,Beginner,r1,r2,c3,c3,0.7560975609756098
46,40,Beginner,Beginner,r1,r2,c3,c3,0.7101449275362319
46,48,Beginner,Beginner,r1,r2,c3,c3,0.6862745098039216
46,52,Beginner,Beginner,r1,r2,c3,c3,0.8373983739837398
47,16,Beginner,Beginner,r1,r2,c2,c2,0.6967213114754098
47,26,Beginner,Beginner,r1,r2,c2,c2,0.6293706293706294
47,29,Beginner,Beginner,r1,r2,c2,c2,0.7578125
47,36,Beginner,Beginner,r1,r2,c2,c2,0.6475409836065574
48,16,Beginner,Beginner,r1,r2,c2,c2,0.7672955974842768
48,26,Beginner,Beginner,r1,r2,c2,c2,0.7987421383647799
48,29,Beginner,Beginner,r1,r2,c2,c2,0.7924528301886793
48,36,Beginner,Beginner,r1,r2,c2,c2,0.6918238993710691
48,46,Beginner,Beginner,r1,r2,c2,c2,0.7044025157232704
50,16,Beginner,Beginner,r1,r2,c2,c2,0.6868686868686869
50,46,Beginner,Beginner,r1,r2,c2,c2,0.6587301587301587
52,29,Beginner,Beginner,r1,r2,c2,c2,0.8125
52,36,Beginner,Beginner,r1,r2,c2,c2,0.8290598290598291
52,46,Beginner,Beginner,r1,r2,c2,c2,0.8174603174603174
9,24,Beginner,Beginner,r1,r2,c3,c3,0.7310344827586207
9,27,Beginner,Beginner,r1,r2,c3,c3,0.7724137931034483
9,28,Beginner,Beginner,r1,r2,c3,c3,0.7793103448275862
9,33,Beginner,Beginner,r1,r2,c3,c3,0.7655172413793103
9,40,Beginner,Beginner,r1,r2,c3,c3,0.8068965517241379
9,41,Beginner,Beginner,r1,r2,c3,c3,0.8551724137931035
9,52,Beginner,Beginner,r1,r2,c3,c3,0.8206896551724138
16,25,Beginner,Beginner,r1,r3,c1,c1,0.6283783783783784
16,26,Beginner,Beginner,r1,r3,c1,c1,0.6917293233082706
16,28,Beginner,Beginner,r1,r3,c1,c1,0.6746031746031746
16,41,Beginner,Beginner,r1,r3,c1,c1,0.8062015503875969
16,46,Beginner,Beginner,r1,r3,c1,c1,0.7619047619047619
16,48,Beginner,Beginner,r1,r3,c1,c1,0.6690647482014388
24,25,Beginner,Beginner,r1,r3,c1,c1,0.6891891891891891
24,26,Beginner,Beginner,r1,r3,c1,c1,0.7669172932330827
24,28,Beginner,Beginner,r1,r3,c1,c1,0.7338709677419355
24,46,Beginner,Beginner,r1,r3,c1,c1,0.8347107438016529
24,48,Beginner,Beginner,r1,r3,c1,c1,0.7194244604316546
25,24,Beginner,Beginner,r1,r3,c2,c2,0.8441558441558441
25,33,Beginner,Beginner,r1,r3,c2,c2,0.8051948051948052
25,40,Beginner,Beginner,r1,r3,c2,c2,0.8701298701298701
25,9,Beginner,Beginner,r1,r3,c2,c2,0.7792207792207793
26,16,Beginner,Beginner,r1,r3,c3,c3,0.7628205128205128
26,36,Beginner,Beginner,r1,r3,c3,c3,0.7564102564102564
26,37,Beginner,Beginner,r1,r3,c3,c3,0.6794871794871795
26,47,Beginner,Beginner,r1,r3,c3,c3,0.7756410256410257
27,25,Beginner,Beginner,r1,r3,c1,c1,0.78
27,26,Beginner,Beginner,r1,r3,c1,c1,0.76
27,29,Beginner,Beginner,r1,r3,c1,c1,0.6733333333333333
27,41,Beginner,Beginner,r1,r3,c1,c1,0.8133333333333334
27,46,Beginner,Beginner,r1,r3,c1,c1,0.7866666666666666
28,24,Beginner,Beginner,r1,r3,c2,c2,0.624
28,27,Beginner,Beginner,r1,r3,c2,c2,0.556390977443609
28,33,Beginner,Beginner,r1,r3,c2,c2,0.5725806451612904
28,39,Beginner,Beginner,r1,r3,c2,c2,0.5692307692307692
28,40,Beginner,Beginner,r1,r3,c2,c2,0.6423357664233577
28,9,Beginner,Beginner,r1,r3,c2,c2,0.6119402985074627
29,16,Beginner,Beginner,r1,r3,c3,c3,0.8151260504201681
29,36,Beginner,Beginner,r1,r3,c3,c3,0.7647058823529411
29,43,Beginner,Beginner,r1,r3,c3,c3,0.8083333333333333
29,47,Beginner,Beginner,r1,r3,c3,c3,0.7563025210084033
29,50,Beginner,Beginner,r1,r3,c3,c3,0.7581699346405228
30,16,Beginner,Beginner,r1,r3,c3,c3,0.6973684210526315
30,36,Beginner,Beginner,r1,r3,c3,c3,0.7685185185185185
30,37,Beginner,Beginner,r1,r3,c3,c3,0.6696428571428571
30,43,Beginner,Beginner,r1,r3,c3,c3,0.675
30,47,Beginner,Beginner,r1,r3,c3,c3,0.7304347826086957
33,48,Beginner,Beginner,r1,r3,c1,c1,0.7466666666666667
33,52,Beginner,Beginner,r1,r3,c1,c1,0.9133333333333333
36,25,Beginner,Beginner,r1,r3,c1,c1,0.8513513513513513
36,26,Beginner,Beginner,r1,r3,c1,c1,0.8646616541353384
36,28,Beginner,Beginner,r1,r3,c1,c1,0.8387096774193549
36,29,Beginner,Beginner,r1,r3,c1,c1,0.8306451612903226
36,41,Beginner,Beginner,r1,r3,c1,c1,0.875968992248062
36,46,Beginner,Beginner,r1,r3,c1,c1,0.8677685950413223
36,48,Beginner,Beginner,r1,r3,c1,c1,0.8633093525179856
36,52,Beginner,Beginner,r1,r3,c1,c1,0.8571428571428571
37,24,Beginner,Beginner,r1,r3,c2,c2,0.856
37,27,Beginner,Beginner,r1,r3,c2,c2,0.7894736842105263
37,30,Beginner,Beginner,r1,r3,c2,c2,0.8968253968253969
37,33,Beginner,Beginner,r1,r3,c2,c2,0.7741935483870968
37,39,Beginner,Beginner,r1,r3,c2,c2,0.8538461538461538
37,40,Beginner,Beginner,r1,r3,c2,c2,0.7591240875912408
37,9,Beginner,Beginner,r1,r3,c2,c2,0.8283582089552238
38,24,Beginner,Beginner,r1,r3,c2,c2,0.784
38,27,Beginner,Beginner,r1,r3,c2,c2,0.7593984962406015
38,33,Beginner,Beginner,r1,r3,c2,c2,0.782258064516129
38,39,Beginner,Beginner,r1,r3,c2,c2,0.8153846153846154
38,9,Beginner,Beginner,r1,r3,c2,c2,0.8059701492537313
39,16,Beginner,Beginner,r1,r3,c3,c3,0.7910447761194029
39,36,Beginner,Beginner,r1,r3,c3,c3,0.746268656716418
39,38,Beginner,Beginner,r1,r3,c3,c3,0.7761194029850746
