exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,code_a,code_b,Shape,Direction,Length,Position,Duration,source_file
17,50,Intermediate,Beginner,r1,r1,c2,c2,0.9863928118862616,0.5792859842613534,0.9862089634304084,0.896501315649813,0.6978066770186335,r1_result.csv
17,52,Intermediate,Beginner,r1,r1,c2,c2,0.9824618247209024,0.6988931315364437,0.9795852245726682,0.930046690284379,0.65625,r1_result.csv
18,16,Intermediate,Beginner,r1,r1,c1,c1,0.9857789485890318,0.8288884767594826,0.981551317023582,0.9164349663823776,0.6824034334763949,r1_result.csv
18,24,Intermediate,Beginner,r1,r1,c1,c1,0.9880558907954792,0.8957871309518285,0.984130641183172,0.8875307021194008,0.6912242686890574,r1_result.csv
18,27,Intermediate,Beginner,r1,r1,c1,c1,0.9847448098566286,0.8333087429036277,0.9843082527580436,0.9307766677788084,0.7572815533980584,r1_result.csv
18,33,Intermediate,Beginner,r1,r1,c1,c1,0.989686894456031,0.9133860191116407,0.9868959822912324,0.8440895423492851,0.7386148007590132,r1_result.csv
18,36,Intermediate,Beginner,r1,r1,c1,c1,0.9830657402483236,0.6633920983026991,0.9746516401204842,0.8875502266948273,0.7216494845360826,r1_result.csv
18,40,Intermediate,Beginner,r1,r1,c1,c1,0.987909718625775,0.8911174649706387,0.9864083291387008,0.8451373145838286,0.7227358275940519,r1_result.csv
19,26,Intermediate,Beginner,r1,r1,c3,c3,0.9870945575256004,0.7980516711846548,0.9833630826005652,0.8950820719980677,0.7425742574257426,r1_result.csv
19,29,Intermediate,Beginner,r1,r1,c3,c3,0.9841005169233424,0.7960192058722302,0.9782233179211444,0.9463149023268592,0.7111445586021857,r1_result.csv
19,30,Intermediate,Beginner,r1,r1,c3,c3,0.9853709655165966,0.7827812357478547,0.9806792231909452,0.9559138113197736,0.7575757575757576,r1_result.csv
19,39,Intermediate,Beginner,r1,r1,c3,c3,0.9857103070817524,0.8159176536283428,0.9829440320879832,0.9442536232906084,0.7014921438363387,r1_result.csv
19,46,Intermediate,Beginner,r1,r1,c3,c3,0.988471947571194,0.88006295679591,0.9830514039855796,0.9353390839615588,0.6936778327623399,r1_result.csv
19,9,Intermediate,Beginner,r1,r1,c3,c3,0.9845894740137636,0.7412619433858234,0.9843839117201326,0.9115560792465528,0.7347560975609755,r1_result.csv
