exp_a,exp_b,stimulus,expertise_a,expertise_b,score,source_file
29,31,vehicle,low,low,0.8215037392130959,Java_low_results.csv
29,64,vehicle,low,low,0.833752929404574,Java_low_results.csv
29,43,vehicle,low,low,0.8097611206538152,Java_low_results.csv
29,180,vehicle,low,low,0.7874013365374951,Java_low_results.csv
29,170,vehicle,low,low,0.8184254335115493,Java_low_results.csv
29,128,vehicle,low,low,0.8301687577355382,Java_low_results.csv
29,200,vehicle,low,low,0.8179552775208473,Java_low_results.csv
29,140,vehicle,low,low,0.8130513453477862,Java_low_results.csv
29,176,vehicle,low,low,0.8282321016182669,Java_low_results.csv
29,179,vehicle,low,low,0.8017833497708815,Java_low_results.csv
29,77,vehicle,low,low,0.8592095952995203,Java_low_results.csv
29,60,vehicle,low,low,0.8325174277990574,Java_low_results.csv
29,79,vehicle,low,low,0.8160144489486599,Java_low_results.csv
29,182,vehicle,low,low,0.8359583555969018,Java_low_results.csv
29,172,vehicle,low,low,0.7559611924538412,Java_low_results.csv
31,56,vehicle,low,low,0.7658384813948728,Java_low_results.csv
31,35,vehicle,low,low,0.7536018871097914,Java_low_results.csv
29,99,vehicle,low,low,0.8291301536254396,Java_low_results.csv
31,74,vehicle,low,low,0.7681598215021267,Java_low_results.csv
31,41,vehicle,low,low,0.7172861580901797,Java_low_results.csv
31,43,vehicle,low,low,0.7830525675381327,Java_low_results.csv
31,44,vehicle,low,low,0.7380924773124024,Java_low_results.csv
31,63,vehicle,low,low,0.7965634313411949,Java_low_results.csv
31,37,vehicle,low,low,0.7666952748604653,Java_low_results.csv
31,65,vehicle,low,low,0.8688330212297073,Java_low_results.csv
31,94,vehicle,low,low,0.8090586268827714,Java_low_results.csv
31,114,vehicle,low,low,0.7844303863563945,Java_low_results.csv
31,78,vehicle,low,low,0.784896456372282,Java_low_results.csv
29,183,vehicle,low,low,0.7786854539517271,Java_low_results.csv
31,60,vehicle,low,low,0.7381936052188228,Java_low_results.csv
31,104,vehicle,low,low,0.8532663178256762,Java_low_results.csv
31,77,vehicle,low,low,0.7318335590381057,Java_low_results.csv
31,34,vehicle,low,low,0.7964540782793789,Java_low_results.csv
31,124,vehicle,low,low,0.7834793784145769,Java_low_results.csv
31,140,vehicle,low,low,0.7515046777706946,Java_low_results.csv
31,132,vehicle,low,low,0.8118491935929826,Java_low_results.csv
31,139,vehicle,low,low,0.772756988403214,Java_low_results.csv
31,164,vehicle,low,low,0.7774080069034979,Java_low_results.csv
31,79,vehicle,low,low,0.733952258223709,Java_low_results.csv
31,180,vehicle,low,low,0.7489069747277837,Java_low_results.csv
31,200,vehicle,low,low,0.8078153058674786,Java_low_results.csv
31,99,vehicle,low,low,0.7705655147355552,Java_low_results.csv
34,35,vehicle,low,low,0.7827887188921123,Java_low_results.csv
31,183,vehicle,low,low,0.7307810928528937,Java_low_results.csv
31,179,vehicle,low,low,0.7671740600957861,Java_low_results.csv
31,176,vehicle,low,low,0.7573906733548781,Java_low_results.csv
34,43,vehicle,low,low,0.8198896004980001,Java_low_results.csv
34,56,vehicle,low,low,0.7785436100840601,Java_low_results.csv
34,41,vehicle,low,low,0.7999565908726751,Java_low_results.csv
34,44,vehicle,low,low,0.8026222667412591,Java_low_results.csv
31,126,vehicle,low,low,0.7920448160705674,Java_low_results.csv
34,65,vehicle,low,low,0.8941675787469335,Java_low_results.csv
31,172,vehicle,low,low,0.7914082111735612,Java_low_results.csv
34,78,vehicle,low,low,0.8180664837471655,Java_low_results.csv
34,74,vehicle,low,low,0.8022622297583647,Java_low_results.csv
34,94,vehicle,low,low,0.8127025192332815,Java_low_results.csv
34,114,vehicle,low,low,0.8241296710893246,Java_low_results.csv
34,63,vehicle,low,low,0.838342268864635,Java_low_results.csv
34,79,vehicle,low,low,0.7871668907324856,Java_low_results.csv
34,104,vehicle,low,low,0.8393375775176095,Java_low_results.csv
34,77,vehicle,low,low,0.7960957652646942,Java_low_results.csv
34,37,vehicle,low,low,0.8221380004573028,Java_low_results.csv
34,99,vehicle,low,low,0.7847040451158241,Java_low_results.csv
34,124,vehicle,low,low,0.8395401415989795,Java_low_results.csv
31,128,vehicle,low,low,0.7888144481911639,Java_low_results.csv
34,139,vehicle,low,low,0.7777109829230964,Java_low_results.csv
29,101,vehicle,low,low,0.9010038855195998,Java_low_results.csv
34,64,vehicle,low,low,0.8374161742201041,Java_low_results.csv
31,170,vehicle,low,low,0.756935810301483,Java_low_results.csv
34,172,vehicle,low,low,0.8032799284605708,Java_low_results.csv
34,140,vehicle,low,low,0.819561341134112,Java_low_results.csv
34,164,vehicle,low,low,0.8485294373589586,Java_low_results.csv
34,180,vehicle,low,low,0.7808576172344054,Java_low_results.csv
34,60,vehicle,low,low,0.8008738229481444,Java_low_results.csv
34,126,vehicle,low,low,0.8064008100871018,Java_low_results.csv
34,128,vehicle,low,low,0.8091323449855866,Java_low_results.csv
34,183,vehicle,low,low,0.7933067078944687,Java_low_results.csv
35,37,vehicle,low,low,0.7922295137233785,Java_low_results.csv
34,101,vehicle,low,low,0.8443710657365743,Java_low_results.csv
35,43,vehicle,low,low,0.8212674698044296,Java_low_results.csv
35,60,vehicle,low,low,0.7697924527571822,Java_low_results.csv
35,44,vehicle,low,low,0.7897847889478933,Java_low_results.csv
31,182,vehicle,low,low,0.7907018854239727,Java_low_results.csv
35,41,vehicle,low,low,0.777579600679142,Java_low_results.csv
35,56,vehicle,low,low,0.8052509453357942,Java_low_results.csv
35,65,vehicle,low,low,0.9096731140920176,Java_low_results.csv
34,132,vehicle,low,low,0.794836466547058,Java_low_results.csv
35,74,vehicle,low,low,0.8306021868829766,Java_low_results.csv
35,78,vehicle,low,low,0.8367836630747046,Java_low_results.csv
35,63,vehicle,low,low,0.798814117880245,Java_low_results.csv
34,200,vehicle,low,low,0.8610789404864436,Java_low_results.csv
34,176,vehicle,low,low,0.7538889361297192,Java_low_results.csv
31,64,vehicle,low,low,0.8131083623927169,Java_low_results.csv
34,179,vehicle,low,low,0.8501543147084034,Java_low_results.csv
34,170,vehicle,low,low,0.790575477632868,Java_low_results.csv
35,79,vehicle,low,low,0.7847592181531176,Java_low_results.csv
35,99,vehicle,low,low,0.8123291742978164,Java_low_results.csv
35,114,vehicle,low,low,0.8487419581413177,Java_low_results.csv
35,124,vehicle,low,low,0.8506657706418663,Java_low_results.csv
35,104,vehicle,low,low,0.8787760301184228,Java_low_results.csv
35,77,vehicle,low,low,0.7697541328515821,Java_low_results.csv
35,126,vehicle,low,low,0.7959581701746631,Java_low_results.csv
35,64,vehicle,low,low,0.8222231429156813,Java_low_results.csv
35,94,vehicle,low,low,0.8362358981780754,Java_low_results.csv
35,180,vehicle,low,low,0.7844385740782932,Java_low_results.csv
35,139,vehicle,low,low,0.778215385676594,Java_low_results.csv
34,182,vehicle,low,low,0.8229515595261107,Java_low_results.csv
35,200,vehicle,low,low,0.8405392702959413,Java_low_results.csv
35,128,vehicle,low,low,0.7555407710232009,Java_low_results.csv
35,170,vehicle,low,low,0.7529939681530982,Java_low_results.csv
35,140,vehicle,low,low,0.8197814908638851,Java_low_results.csv
35,183,vehicle,low,low,0.7792804509364166,Java_low_results.csv
35,176,vehicle,low,low,0.7430098720099653,Java_low_results.csv
37,65,vehicle,low,low,0.8834919170602187,Java_low_results.csv
37,56,vehicle,low,low,0.7880948619776255,Java_low_results.csv
37,74,vehicle,low,low,0.7873506643406215,Java_low_results.csv
37,41,vehicle,low,low,0.7719426940548855,Java_low_results.csv
35,172,vehicle,low,low,0.8035573701801312,Java_low_results.csv
37,44,vehicle,low,low,0.825902356549662,Java_low_results.csv
37,78,vehicle,low,low,0.7980747518718219,Java_low_results.csv
