exp_a,exp_b,trial_id,expertise_a,expertise_b,original_distance,original_nld,source_file
37,128,2,low,low,227.0,0.934156378600823,Java_low_results.csv
37,138,2,low,low,190.0,0.8715596330275229,Java_low_results.csv
37,126,2,low,low,300.0,0.9404388714733544,Java_low_results.csv
37,140,2,low,low,209.0,0.9414414414414416,Java_low_results.csv
37,162,2,low,low,240.0,0.9090909090909092,Java_low_results.csv
37,164,2,low,low,219.0,0.9319148936170212,Java_low_results.csv
37,172,2,low,low,194.0,0.8899082568807339,Java_low_results.csv
37,132,2,low,low,368.0,0.8997555012224939,Java_low_results.csv
37,180,2,low,low,201.0,0.9220183486238532,Java_low_results.csv
37,186,2,low,low,216.0,0.9432314410480348,Java_low_results.csv
37,200,2,low,low,197.0,0.9036697247706422,Java_low_results.csv
37,179,2,low,low,346.0,0.9033942558746736,Java_low_results.csv
37,183,2,low,low,252.0,0.9,Java_low_results.csv
37,182,2,low,low,365.0,0.9125,Java_low_results.csv
37,176,2,low,low,441.0,0.875,Java_low_results.csv
41,56,2,low,low,298.0,0.9371069182389936,Java_low_results.csv
41,65,2,low,low,302.0,0.949685534591195,Java_low_results.csv
41,43,2,low,low,308.0,0.9685534591194968,Java_low_results.csv
41,44,2,low,low,299.0,0.940251572327044,Java_low_results.csv
41,71,2,low,low,301.0,0.9465408805031448,Java_low_results.csv
41,63,2,low,low,309.0,0.9716981132075472,Java_low_results.csv
41,67,2,low,low,282.0,0.8867924528301887,Java_low_results.csv
41,74,2,low,low,289.0,0.9088050314465408,Java_low_results.csv
41,78,2,low,low,288.0,0.9056603773584906,Java_low_results.csv
41,60,2,low,low,309.0,0.9716981132075472,Java_low_results.csv
41,94,2,low,low,290.0,0.9119496855345912,Java_low_results.csv
41,101,2,low,low,285.0,0.8962264150943396,Java_low_results.csv
41,99,2,low,low,268.0,0.8427672955974843,Java_low_results.csv
41,107,2,low,low,280.0,0.8805031446540881,Java_low_results.csv
41,77,2,low,low,349.0,0.897172236503856,Java_low_results.csv
41,79,2,low,low,308.0,0.9685534591194968,Java_low_results.csv
41,104,2,low,low,289.0,0.9088050314465408,Java_low_results.csv
41,64,2,low,low,556.0,0.9391891891891893,Java_low_results.csv
41,128,2,low,low,262.0,0.8238993710691824,Java_low_results.csv
41,124,2,low,low,312.0,0.981132075471698,Java_low_results.csv
41,138,2,low,low,284.0,0.8930817610062893,Java_low_results.csv
41,126,2,low,low,309.0,0.9686520376175548,Java_low_results.csv
41,140,2,low,low,298.0,0.9371069182389936,Java_low_results.csv
41,172,2,low,low,297.0,0.9339622641509434,Java_low_results.csv
41,164,2,low,low,296.0,0.9308176100628932,Java_low_results.csv
41,162,2,low,low,295.0,0.9276729559748428,Java_low_results.csv
41,180,2,low,low,295.0,0.9276729559748428,Java_low_results.csv
41,132,2,low,low,388.0,0.9486552567237164,Java_low_results.csv
43,56,2,low,low,254.0,0.8758620689655172,Java_low_results.csv
41,200,2,low,low,298.0,0.9371069182389936,Java_low_results.csv
41,186,2,low,low,272.0,0.8553459119496856,Java_low_results.csv
41,179,2,low,low,353.0,0.9216710182767625,Java_low_results.csv
41,183,2,low,low,307.0,0.9654088050314464,Java_low_results.csv
43,65,2,low,low,279.0,0.9620689655172414,Java_low_results.csv
41,176,2,low,low,454.0,0.9007936507936508,Java_low_results.csv
43,44,2,low,low,269.0,0.9180887372013652,Java_low_results.csv
41,182,2,low,low,383.0,0.9575,Java_low_results.csv
43,71,2,low,low,276.0,0.9517241379310344,Java_low_results.csv
43,74,2,low,low,275.0,0.9482758620689656,Java_low_results.csv
43,67,2,low,low,276.0,0.9517241379310344,Java_low_results.csv
43,63,2,low,low,262.0,0.903448275862069,Java_low_results.csv
43,78,2,low,low,255.0,0.8793103448275862,Java_low_results.csv
43,60,2,low,low,262.0,0.8562091503267973,Java_low_results.csv
43,94,2,low,low,273.0,0.9413793103448276,Java_low_results.csv
43,101,2,low,low,267.0,0.9206896551724136,Java_low_results.csv
43,99,2,low,low,269.0,0.9275862068965516,Java_low_results.csv
43,79,2,low,low,270.0,0.8709677419354839,Java_low_results.csv
43,107,2,low,low,276.0,0.9517241379310344,Java_low_results.csv
43,77,2,low,low,320.0,0.8226221079691517,Java_low_results.csv
43,104,2,low,low,282.0,0.9724137931034482,Java_low_results.csv
43,64,2,low,low,492.0,0.831081081081081,Java_low_results.csv
43,138,2,low,low,269.0,0.9275862068965516,Java_low_results.csv
43,128,2,low,low,271.0,0.9344827586206896,Java_low_results.csv
43,124,2,low,low,282.0,0.9724137931034482,Java_low_results.csv
43,126,2,low,low,287.0,0.8996865203761756,Java_low_results.csv
43,140,2,low,low,255.0,0.8793103448275862,Java_low_results.csv
43,162,2,low,low,274.0,0.9448275862068966,Java_low_results.csv
43,172,2,low,low,263.0,0.906896551724138,Java_low_results.csv
43,164,2,low,low,263.0,0.906896551724138,Java_low_results.csv
43,180,2,low,low,258.0,0.8896551724137931,Java_low_results.csv
43,132,2,low,low,387.0,0.9462102689486552,Java_low_results.csv
43,200,2,low,low,262.0,0.903448275862069,Java_low_results.csv
