exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score,source_file
37,44,vehicle,low,low,279.0,0.9522184300341296,Java_low_results.csv
37,56,vehicle,low,low,215.0,0.8333333333333334,Java_low_results.csv
35,140,vehicle,low,low,228.0,0.8603773584905661,Java_low_results.csv
35,170,vehicle,low,low,267.0,0.826625386996904,Java_low_results.csv
37,63,vehicle,low,low,236.0,0.9076923076923076,Java_low_results.csv
35,164,vehicle,low,low,245.0,0.9245283018867924,Java_low_results.csv
37,94,vehicle,low,low,215.0,0.8333333333333334,Java_low_results.csv
35,124,vehicle,low,low,259.0,0.9087719298245616,Java_low_results.csv
37,74,vehicle,low,low,215.0,0.8333333333333334,Java_low_results.csv
37,78,vehicle,low,low,215.0,0.8333333333333334,Java_low_results.csv
37,79,vehicle,low,low,285.0,0.9193548387096774,Java_low_results.csv
35,101,vehicle,low,low,755.0,0.869815668202765,Java_low_results.csv
37,99,vehicle,low,low,272.0,0.918918918918919,Java_low_results.csv
35,176,vehicle,low,low,326.0,0.7990196078431373,Java_low_results.csv
37,114,vehicle,low,low,221.0,0.8565891472868217,Java_low_results.csv
37,77,vehicle,low,low,347.0,0.8920308483290489,Java_low_results.csv
37,104,vehicle,low,low,238.0,0.9224806201550388,Java_low_results.csv
37,126,vehicle,low,low,293.0,0.9184952978056428,Java_low_results.csv
37,132,vehicle,low,low,269.0,0.9087837837837838,Java_low_results.csv
37,172,vehicle,low,low,228.0,0.8837209302325582,Java_low_results.csv
37,139,vehicle,low,low,213.0,0.8255813953488372,Java_low_results.csv
37,200,vehicle,low,low,223.0,0.8643410852713178,Java_low_results.csv
37,170,vehicle,low,low,291.0,0.9009287925696594,Java_low_results.csv
37,64,vehicle,low,low,524.0,0.8851351351351351,Java_low_results.csv
37,124,vehicle,low,low,259.0,0.9087719298245616,Java_low_results.csv
37,183,vehicle,low,low,258.0,0.9214285714285714,Java_low_results.csv
37,60,vehicle,low,low,273.0,0.8921568627450981,Java_low_results.csv
35,179,vehicle,low,low,330.0,0.8616187989556136,Java_low_results.csv
37,176,vehicle,low,low,367.0,0.8995098039215687,Java_low_results.csv
37,182,vehicle,low,low,345.0,0.8625,Java_low_results.csv
41,74,vehicle,low,low,285.0,0.8558558558558559,Java_low_results.csv
41,43,vehicle,low,low,298.0,0.8948948948948949,Java_low_results.csv
41,44,vehicle,low,low,307.0,0.921921921921922,Java_low_results.csv
37,101,vehicle,low,low,786.0,0.9055299539170508,Java_low_results.csv
