exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Length,Direction,Position,Duration,source_file
51,28,2,medium,none,0.991067925739487,0.6891446977740006,0.9868473027742845,0.9044809157578756,0.6295031055900621,Java_medium_Java_none_results.csv
51,30,2,medium,none,0.9917842746608856,0.7391422609173339,0.9879369771413824,0.952322383814774,0.5444664031620553,Java_medium_Java_none_results.csv
51,36,2,medium,none,0.9914645623462108,0.7274605504373572,0.9913295716918727,0.9293038306842109,0.6341463414634145,Java_medium_Java_none_results.csv
51,38,2,medium,none,0.9929571959965732,0.6352949115231594,0.9895108468089427,0.9019777696364264,0.6285714285714284,Java_medium_Java_none_results.csv
51,59,2,medium,none,0.989794099144962,0.6819039492029932,0.984009807981172,0.9382086255355316,0.6363636363636365,Java_medium_Java_none_results.csv
51,93,2,medium,none,0.9919042532984574,0.6585870042503608,0.988656924377968,0.8529204512566728,0.6365176151761518,Java_medium_Java_none_results.csv
51,96,2,medium,none,0.9931139478357192,0.6978122877501669,0.9900223903038898,0.9505364254918538,0.5962962962962963,Java_medium_Java_none_results.csv
51,106,2,medium,none,0.9905369471158274,0.6425564756516673,0.9859386461289904,0.9185755365539598,0.6956521739130435,Java_medium_Java_none_results.csv
51,110,2,medium,none,0.9935786475243416,0.6945598214242233,0.9912209683894876,0.919504995769198,0.6377980364656382,Java_medium_Java_none_results.csv
51,116,2,medium,none,0.9920163234098336,0.6986405543826468,0.988876840452204,0.9581911504173856,0.5999999999999999,Java_medium_Java_none_results.csv
51,141,2,medium,none,0.9897583288542569,0.6861529466511189,0.9838835490713248,0.9222970468911682,0.6040497193263834,Java_medium_Java_none_results.csv
51,154,2,medium,none,0.9924015881053164,0.6117262888212855,0.9892001905526396,0.8844879874406961,0.6285714285714284,Java_medium_Java_none_results.csv
51,163,2,medium,none,0.9899147738196644,0.660840820506589,0.9854661119818282,0.9399927313683556,0.6782687651331719,Java_medium_Java_none_results.csv
51,181,2,medium,none,0.9933695850807872,0.8036865841110066,0.9925404899995528,0.9277448898069968,0.7072010869565217,Java_medium_Java_none_results.csv
51,189,2,medium,none,0.9913569346424908,0.7015024480011885,0.9888037308059532,0.953662049296762,0.6381818181818182,Java_medium_Java_none_results.csv
51,196,2,medium,none,0.9897386206700756,0.6416890732721119,0.9846493854202114,0.8759087556529306,0.653846153846154,Java_medium_Java_none_results.csv
51,201,2,medium,none,0.992482149687588,0.7249361113120314,0.9895886918909064,0.9528452735895648,0.6799999999999999,Java_medium_Java_none_results.csv
51,204,2,medium,none,0.9875867801038972,0.6930930128466897,0.9793259846513394,0.9110685091949512,0.689010989010989,Java_medium_Java_none_results.csv
51,211,2,medium,none,0.9944666687432268,0.6890400762586619,0.9922897106507316,0.8813269031084695,0.625,Java_medium_Java_none_results.csv
51,216,2,medium,none,0.98945053681108,0.7195952019197647,0.9855836261584838,0.9459566232075128,0.6296296296296298,Java_medium_Java_none_results.csv
53,3,2,medium,none,0.9918364646418142,0.7679382505530059,0.9894909446963152,0.8542603704058254,0.7407407407407407,Java_medium_Java_none_results.csv
53,5,2,medium,none,0.9892642134914428,0.6909538322618567,0.9853015394571936,0.9146233144230096,0.7,Java_medium_Java_none_results.csv
53,12,2,medium,none,0.9906246441796492,0.6901518065332977,0.986694132830272,0.8562399419112566,0.6521739130434783,Java_medium_Java_none_results.csv
53,28,2,medium,none,0.9882863988825809,0.6025831461427958,0.9851242275938557,0.933629234560976,0.6363636363636365,Java_medium_Java_none_results.csv
53,30,2,medium,none,0.9885731762022012,0.7743776086923766,0.9848478529695076,0.9039348349566724,0.6733333333333333,Java_medium_Java_none_results.csv
53,36,2,medium,none,0.9883269023033616,0.7031197554475884,0.982496724037262,0.8837695161744338,0.6711711711711712,Java_medium_Java_none_results.csv
53,38,2,medium,none,0.990190979578185,0.747810712502272,0.9869931339472316,0.8591347580475197,0.7142857142857143,Java_medium_Java_none_results.csv
53,59,2,medium,none,0.9883175319172346,0.6581878144238988,0.9844348163507608,0.9169300187618964,0.6521739130434783,Java_medium_Java_none_results.csv
53,93,2,medium,none,0.986284646184767,0.707829368594316,0.981925375359485,0.916542860914616,0.6776437847866419,Java_medium_Java_none_results.csv
53,96,2,medium,none,0.9913519467892714,0.7600170754195447,0.9887013505353712,0.9014017996018407,0.5638586956521738,Java_medium_Java_none_results.csv
53,106,2,medium,none,0.9894135880933262,0.671679952361687,0.9858579760199924,0.9244600957709368,0.75,Java_medium_Java_none_results.csv
53,110,2,medium,none,0.989277797867614,0.6469416065240299,0.9870785530046606,0.904692825813082,0.6666666666666666,Java_medium_Java_none_results.csv
53,116,2,medium,none,0.9898247430784922,0.7704780052166272,0.9839361342791528,0.9131633200125988,0.625,Java_medium_Java_none_results.csv
53,141,2,medium,none,0.9880601484700394,0.7518971166580332,0.9831868090669416,0.9032264471222388,0.5945945945945945,Java_medium_Java_none_results.csv
53,154,2,medium,none,0.990417414420266,0.6998102581274978,0.9875241965540904,0.8975172848271161,0.7,Java_medium_Java_none_results.csv
53,163,2,medium,none,0.9883286141878672,0.7885789555397154,0.9836941325635458,0.8988886916707802,0.6363636363636365,Java_medium_Java_none_results.csv
53,181,2,medium,none,0.9870504716876572,0.738725848439702,0.9851082521311348,0.9091298506464428,0.6787096774193548,Java_medium_Java_none_results.csv
53,189,2,medium,none,0.9885233631646388,0.7324912015826266,0.981933398462751,0.8964542606236768,0.6273148148148149,Java_medium_Java_none_results.csv
53,196,2,medium,none,0.9885745996944028,0.6500335692086365,0.9845028686383128,0.8547524470232024,0.75,Java_medium_Java_none_results.csv
53,201,2,medium,none,0.9904673500519344,0.7117447845215604,0.984998863313364,0.931049527193162,0.6956521739130435,Java_medium_Java_none_results.csv
53,204,2,medium,none,0.9846436254924108,0.5268634061694671,0.97661121703828,0.878926640346401,0.8181818181818181,Java_medium_Java_none_results.csv
53,211,2,medium,none,0.9931418940269976,0.7064542376514336,0.9900290486845708,0.9120768386835576,0.597872340425532,Java_medium_Java_none_results.csv
53,216,2,medium,none,0.9875044075392824,0.739724038602773,0.9857192545956852,0.8718206227347223,0.75,Java_medium_Java_none_results.csv
