exp_a,exp_b,stimulus,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration,source_file
147,202,vehicle,medium,medium,0.9890011263612012,0.6753407927148884,0.9826939784276236,0.9052535826544053,0.6666666666666666,Java_medium_results.csv
151,190,vehicle,medium,medium,0.9952314972131688,0.6265946995282734,0.9926078202131452,0.8917296666986412,0.6296296296296298,Java_medium_results.csv
147,214,vehicle,medium,medium,0.9921800560788882,0.6691647345443468,0.9901142050647224,0.9394395960435316,0.7619047619047619,Java_medium_results.csv
151,155,vehicle,medium,medium,0.9937327024407984,0.6758789777097456,0.992032267762186,0.8975071056447059,0.7,Java_medium_results.csv
135,202,vehicle,medium,medium,0.9874320522520288,0.701524057061979,0.9816530068243744,0.9281036645002508,0.6666666666666666,Java_medium_results.csv
147,151,vehicle,medium,medium,0.9940595545128018,0.6471520275249593,0.9927549995835746,0.9119642369527662,0.7290209790209791,Java_medium_results.csv
151,203,vehicle,medium,medium,0.9946721067800606,0.4636604814108201,0.991559041021554,0.901489555953918,0.5952380952380952,Java_medium_results.csv
145,214,vehicle,medium,medium,0.9929132557569056,0.7254657818944028,0.9906489520168212,0.908430689759665,0.75,Java_medium_results.csv
151,191,vehicle,medium,medium,0.9940944360235068,0.694936590982557,0.9930030093358008,0.89204629833458,0.6896551724137931,Java_medium_results.csv
151,192,vehicle,medium,medium,0.9939763269432892,0.6154511385796996,0.9926479742027507,0.8968617749436631,0.6099627945431997,Java_medium_results.csv
151,166,vehicle,medium,medium,0.992903276519992,0.678073583768005,0.9909605789769824,0.8897290771363975,0.7142857142857142,Java_medium_results.csv
155,158,vehicle,medium,medium,0.9926883578525592,0.7718884216844165,0.9904313770422416,0.9343270657845086,0.5813953488372094,Java_medium_results.csv
155,169,vehicle,medium,medium,0.9900315938655576,0.7762706183229168,0.9879576119599808,0.9422532287798846,0.657142857142857,Java_medium_results.csv
155,190,vehicle,medium,medium,0.9916835444248496,0.737664143451353,0.9902173495470404,0.939690257123507,0.6296296296296298,Java_medium_results.csv
155,168,vehicle,medium,medium,0.9905418942896989,0.6981603332271189,0.9883707317936482,0.915259010525734,0.7,Java_medium_results.csv
155,192,vehicle,medium,medium,0.9888536732124246,0.7270336212556829,0.9850186230300102,0.8964763550843021,0.5499999999999999,Java_medium_results.csv
155,191,vehicle,medium,medium,0.9897838126848294,0.7467063007296859,0.985638307030401,0.9391175459175246,0.6666666666666667,Java_medium_results.csv
155,203,vehicle,medium,medium,0.9908031912650074,0.6299170589893116,0.9852274246403236,0.8505600548937149,0.7894736842105263,Java_medium_results.csv
155,171,vehicle,medium,medium,0.9913248976296376,0.6931307428374051,0.9876914642700148,0.9387865605902092,0.5714285714285714,Java_medium_results.csv
151,206,vehicle,medium,medium,0.9941597037316862,0.6877554407427299,0.9935025610817128,0.8996290981534655,0.6969696969696969,Java_medium_results.csv
155,197,vehicle,medium,medium,0.9888875978812924,0.7491904849233583,0.986508640449555,0.9097703665771132,0.625,Java_medium_results.csv
151,169,vehicle,medium,medium,0.9935340894120313,0.6000632616932797,0.9922474166559376,0.8896168003959506,0.6666666666666666,Java_medium_results.csv
155,210,vehicle,medium,medium,0.990608871740081,0.7179372590064629,0.9884834976673054,0.9423008653423798,0.7272727272727273,Java_medium_results.csv
155,206,vehicle,medium,medium,0.9926351382779612,0.7228964566913663,0.990648908657091,0.9179405425362482,0.7083333333333334,Java_medium_results.csv
155,166,vehicle,medium,medium,0.9894502606946334,0.7528626727102936,0.9852675598910996,0.916206864338368,0.736842105263158,Java_medium_results.csv
155,207,vehicle,medium,medium,0.992487432703124,0.7347371080355001,0.9910582390697718,0.9228436565479512,0.6666666666666665,Java_medium_results.csv
155,215,vehicle,medium,medium,0.9904148522939978,0.6964978012450231,0.9890206488330288,0.8747698740560861,0.7241379310344828,Java_medium_results.csv
158,169,vehicle,medium,medium,0.9907105657023638,0.6873984601827128,0.9882900801049928,0.9481397443233526,0.625,Java_medium_results.csv
145,151,vehicle,medium,medium,0.9941959090190904,0.6524120763680155,0.9927372903139,0.894265166052197,0.6896551724137931,Java_medium_results.csv
158,190,vehicle,medium,medium,0.99309331507109,0.6773292854467423,0.9881191412527052,0.9127456402790703,0.5769230769230769,Java_medium_results.csv
158,168,vehicle,medium,medium,0.992396365519106,0.7131199411958218,0.988898674679203,0.9162154506489,0.5999999999999999,Java_medium_results.csv
158,192,vehicle,medium,medium,0.9915293544577848,0.6697434148770314,0.9890794664036796,0.906354130625146,0.6378539493293591,Java_medium_results.csv
158,203,vehicle,medium,medium,0.9919460445563976,0.6912514584150122,0.9882489616036952,0.9075526878238164,0.6104702750665484,Java_medium_results.csv
158,191,vehicle,medium,medium,0.9919406459561848,0.7099717863459333,0.988493828754303,0.942635961382048,0.6785714285714286,Java_medium_results.csv
155,214,vehicle,medium,medium,0.9916992544213796,0.6686026150972803,0.9899505041153334,0.8744372615969581,0.7350877192982457,Java_medium_results.csv
155,202,vehicle,medium,medium,0.9884339297597156,0.6702537731739844,0.9829672217046151,0.8708381011731248,0.6666666666666667,Java_medium_results.csv
158,210,vehicle,medium,medium,0.9923911113089356,0.7145344800691051,0.9899736139355444,0.934009889737473,0.625,Java_medium_results.csv
151,207,vehicle,medium,medium,0.9945568799734266,0.6875936811920027,0.9934639330267416,0.904307324365466,0.6578947368421053,Java_medium_results.csv
151,210,vehicle,medium,medium,0.9945043053437628,0.6357255643212208,0.9932633400014907,0.888385077485012,0.6909814323607427,Java_medium_results.csv
158,206,vehicle,medium,medium,0.9936352039341172,0.7135786825470614,0.9921564411906888,0.9154159253791716,0.6530100334448161,Java_medium_results.csv
158,207,vehicle,medium,medium,0.9933685153204848,0.7347035753864772,0.9919954441556348,0.8984001954519185,0.6363636363636365,Java_medium_results.csv
166,190,vehicle,medium,medium,0.9895695768407518,0.6807571333211517,0.9834455814165388,0.8914079655438155,0.5925925925925926,Java_medium_results.csv
158,215,vehicle,medium,medium,0.9924894368058444,0.7225066378801219,0.9901666763809672,0.9198714093069448,0.6444444444444445,Java_medium_results.csv
151,215,vehicle,medium,medium,0.9940041833811808,0.6570843475012714,0.9932507199098486,0.8841917117388137,0.6774193548387097,Java_medium_results.csv
158,166,vehicle,medium,medium,0.9911840058454158,0.7244838208769637,0.9860217342583284,0.8706726360838306,0.5925925925925926,Java_medium_results.csv
166,168,vehicle,medium,medium,0.9887838122683524,0.703853047465266,0.9849360255925304,0.8470278554318564,0.75,Java_medium_results.csv
151,197,vehicle,medium,medium,0.993343270961614,0.6437056019489573,0.992032939733815,0.9049334094371322,0.638888888888889,Java_medium_results.csv
166,203,vehicle,medium,medium,0.987455073501559,0.5280688633791719,0.9797300005928916,0.9036778914578126,0.6982142857142857,Java_medium_results.csv
166,169,vehicle,medium,medium,0.9878467101598676,0.670939543781691,0.9835653483146032,0.8708036088754849,0.7241379310344828,Java_medium_results.csv
166,192,vehicle,medium,medium,0.9884176686762036,0.6911601624529882,0.9843703797933152,0.8572115893691885,0.5480030721966206,Java_medium_results.csv
166,191,vehicle,medium,medium,0.9896929507144044,0.7419639633317824,0.988099086320921,0.8743195950404397,0.6399999999999999,Java_medium_results.csv
