"random_effect","experiment","dimension","AIC","BIC"
"rand_none","within_trial_between_5","Direction",-23473.7872509907,-23447.8082787404
"rand_none","within_trial_between_5","Position",-20879.3137152552,-20853.3347430049
"rand_none","within_trial_between_5","Duration",-13995.6534651062,-13969.6744928558
"rand_none","within_group","Shape",-40308.0533082609,-40247.988613248
"rand_none","within_group","Length",-20262.420660589,-20202.3559655761
"rand_none","within_group","Direction",-28902.2888375135,-28842.2241425006
"rand_none","within_group","Position",-25146.1480858427,-25086.0833908299
"rand_none","within_group","Duration",-16649.2813467509,-16589.216651738
"rand_none","between_group","Shape",-79601.3781322746,-79564.547398159
"rand_none","between_group","Length",-40113.075091858,-40076.2443577424
"rand_none","between_group","Direction",-56174.3944844036,-56137.563750288
"rand_none","between_group","Position",-49180.7219110209,-49143.8911769053
"rand_none","between_group","Duration",-34036.0202334151,-33999.1894992995
