exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score,source_file
68,104,vehicle,high,low,206.0,0.8917748917748918,Java_high_Java_low_results.csv
68,124,vehicle,high,low,241.0,0.8456140350877193,Java_high_Java_low_results.csv
68,99,vehicle,high,low,256.0,0.8648648648648649,Java_high_Java_low_results.csv
68,132,vehicle,high,low,266.0,0.8986486486486487,Java_high_Java_low_results.csv
68,183,vehicle,high,low,235.0,0.8392857142857143,Java_high_Java_low_results.csv
68,164,vehicle,high,low,203.0,0.8638297872340426,Java_high_Java_low_results.csv
69,27,vehicle,high,low,287.0,0.9082278481012658,Java_high_Java_low_results.csv
68,200,vehicle,high,low,164.0,0.9265536723163842,Java_high_Java_low_results.csv
68,179,vehicle,high,low,326.0,0.8511749347258486,Java_high_Java_low_results.csv
68,182,vehicle,high,low,353.0,0.8825,Java_high_Java_low_results.csv
68,126,vehicle,high,low,290.0,0.9090909090909092,Java_high_Java_low_results.csv
68,170,vehicle,high,low,260.0,0.804953560371517,Java_high_Java_low_results.csv
68,176,vehicle,high,low,355.0,0.8700980392156863,Java_high_Java_low_results.csv
69,29,vehicle,high,low,276.0,0.8734177215189873,Java_high_Java_low_results.csv
69,10,vehicle,high,low,260.0,0.8227848101265823,Java_high_Java_low_results.csv
68,128,vehicle,high,low,444.0,0.9006085192697769,Java_high_Java_low_results.csv
69,34,vehicle,high,low,258.0,0.8164556962025317,Java_high_Java_low_results.csv
69,56,vehicle,high,low,268.0,0.8481012658227848,Java_high_Java_low_results.csv
69,65,vehicle,high,low,277.0,0.8765822784810127,Java_high_Java_low_results.csv
69,31,vehicle,high,low,270.0,0.8544303797468354,Java_high_Java_low_results.csv
69,35,vehicle,high,low,267.0,0.8449367088607594,Java_high_Java_low_results.csv
69,37,vehicle,high,low,269.0,0.8512658227848101,Java_high_Java_low_results.csv
69,21,vehicle,high,low,287.0,0.8107344632768362,Java_high_Java_low_results.csv
69,74,vehicle,high,low,274.0,0.8670886075949367,Java_high_Java_low_results.csv
69,43,vehicle,high,low,265.0,0.8386075949367089,Java_high_Java_low_results.csv
69,94,vehicle,high,low,257.0,0.8132911392405063,Java_high_Java_low_results.csv
69,78,vehicle,high,low,276.0,0.8734177215189873,Java_high_Java_low_results.csv
69,114,vehicle,high,low,283.0,0.8955696202531646,Java_high_Java_low_results.csv
69,60,vehicle,high,low,277.0,0.8765822784810127,Java_high_Java_low_results.csv
69,104,vehicle,high,low,282.0,0.8924050632911392,Java_high_Java_low_results.csv
68,101,vehicle,high,low,787.0,0.9066820276497696,Java_high_Java_low_results.csv
69,79,vehicle,high,low,267.0,0.8449367088607594,Java_high_Java_low_results.csv
69,63,vehicle,high,low,270.0,0.8544303797468354,Java_high_Java_low_results.csv
