exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration
44,211,5,low,none,0.9935256526174558,0.7860919290682089,0.989855988062876,0.937318247680756,0.6762422360248447
56,3,5,low,none,0.9927593531557057,0.7168921797724117,0.9904454535529063,0.9212392307853668,0.6129032258064516
56,5,5,low,none,0.9945710464792765,0.7266145472652781,0.991962674196559,0.912084510443713,0.606060606060606
56,12,5,low,none,0.9914424876912804,0.7607073922743561,0.9876982264958736,0.9479415146198518,0.6229508196721312
56,28,5,low,none,0.9917638692078268,0.7685732100211423,0.9866770424218093,0.892141503786568,0.5909090909090909
56,30,5,low,none,0.9932838264985255,0.7296093339332971,0.9916851785240957,0.9270260445734467,0.6206896551724137
56,36,5,low,none,0.9915545458733304,0.716394502012563,0.9892182197697044,0.886925328316554,0.5626086956521739
44,196,5,low,none,0.9879688243541745,0.6802995553209648,0.9804563479870678,0.887799197132623,0.7083333333333334
56,93,5,low,none,0.9921316213960678,0.6453064181595831,0.9921961432224057,0.9076194657884248,0.6262254901960784
56,96,5,low,none,0.9902471141786241,0.705349218948494,0.986227446178446,0.9376091376991534,0.5833333333333333
56,110,5,low,none,0.9932253738747003,0.8226433991268655,0.9902919727931648,0.911915800669573,0.6090004522840343
56,163,5,low,none,0.9913224717243234,0.7494749096251074,0.9858286432821161,0.8974008331499542,0.6074929971988796
56,181,5,low,none,0.9941300202931548,0.6893395547258203,0.9912918307749898,0.9034673008588181,0.6055045871559633
56,189,5,low,none,0.9935987534839666,0.7515950578521798,0.9907008762807451,0.9440187298451491,0.6470588235294117
56,154,5,low,none,0.994107543680394,0.662021388169968,0.9920193366431826,0.9309308509137204,0.575
56,201,5,low,none,0.9929790044970892,0.7172084415468072,0.9919755895844863,0.9265764897611162,0.6488857278330963
56,204,5,low,none,0.9917256656236441,0.6743590474985969,0.9859645026619052,0.8937994223670126,0.6120401337792643
56,211,5,low,none,0.9936313147145333,0.6707987663639472,0.9920787861246376,0.909028659274128,0.5405405405405406
60,3,5,low,none,0.9916970848367457,0.7303319257113613,0.9892306110971385,0.9072465838620001,0.6956521739130435
60,5,5,low,none,0.9915293846009734,0.7567838869838756,0.9875415497327324,0.922738709624906,0.71875
60,12,5,low,none,0.9913394916347483,0.7238169693565808,0.9875181332313552,0.9203142131659607,0.6363636363636365
60,28,5,low,none,0.9917968504229582,0.7713056434669205,0.9876487015680588,0.8640392749875269,0.6123737373737373
60,30,5,low,none,0.991157506146198,0.7053968277634829,0.9864162480315282,0.9482527984913616,0.6956521739130435
56,196,5,low,none,0.9885481698111649,0.6885663723567683,0.9809075038443981,0.9239847737581819,0.5522388059701492
