exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score,source_file
29,164,rectangle,low,low,193.0,0.914691943127962,Java_low_results.csv
29,176,rectangle,low,low,464.0,0.9206349206349206,Java_low_results.csv
31,34,rectangle,low,low,248.0,0.8888888888888888,Java_low_results.csv
31,37,rectangle,low,low,251.0,0.899641577060932,Java_low_results.csv
31,43,rectangle,low,low,248.0,0.8888888888888888,Java_low_results.csv
31,56,rectangle,low,low,238.0,0.8530465949820788,Java_low_results.csv
29,128,rectangle,low,low,210.0,0.8641975308641975,Java_low_results.csv
31,44,rectangle,low,low,236.0,0.8458781362007168,Java_low_results.csv
31,71,rectangle,low,low,262.0,0.9390681003584228,Java_low_results.csv
31,65,rectangle,low,low,265.0,0.949820788530466,Java_low_results.csv
31,74,rectangle,low,low,250.0,0.8960573476702509,Java_low_results.csv
31,35,rectangle,low,low,225.0,0.8064516129032258,Java_low_results.csv
29,162,rectangle,low,low,236.0,0.8939393939393939,Java_low_results.csv
31,41,rectangle,low,low,282.0,0.8867924528301887,Java_low_results.csv
29,77,rectangle,low,low,310.0,0.8806818181818182,Java_low_results.csv
31,99,rectangle,low,low,235.0,0.8422939068100358,Java_low_results.csv
31,101,rectangle,low,low,244.0,0.8745519713261649,Java_low_results.csv
31,78,rectangle,low,low,259.0,0.92831541218638,Java_low_results.csv
29,132,rectangle,low,low,370.0,0.904645476772616,Java_low_results.csv
31,107,rectangle,low,low,242.0,0.8673835125448028,Java_low_results.csv
31,79,rectangle,low,low,251.0,0.899641577060932,Java_low_results.csv
31,67,rectangle,low,low,247.0,0.8853046594982079,Java_low_results.csv
31,77,rectangle,low,low,313.0,0.8892045454545454,Java_low_results.csv
31,104,rectangle,low,low,264.0,0.9295774647887324,Java_low_results.csv
31,138,rectangle,low,low,242.0,0.8673835125448028,Java_low_results.csv
31,128,rectangle,low,low,249.0,0.8924731182795699,Java_low_results.csv
31,64,rectangle,low,low,352.0,0.9539295392953928,Java_low_results.csv
31,60,rectangle,low,low,243.0,0.8709677419354839,Java_low_results.csv
31,94,rectangle,low,low,252.0,0.9032258064516128,Java_low_results.csv
31,164,rectangle,low,low,257.0,0.921146953405018,Java_low_results.csv
31,124,rectangle,low,low,253.0,0.906810035842294,Java_low_results.csv
34,35,rectangle,low,low,209.0,0.8636363636363636,Java_low_results.csv
31,140,rectangle,low,low,239.0,0.8566308243727598,Java_low_results.csv
29,179,rectangle,low,low,455.0,0.9154929577464788,Java_low_results.csv
31,186,rectangle,low,low,238.0,0.8530465949820788,Java_low_results.csv
31,200,rectangle,low,low,247.0,0.8853046594982079,Java_low_results.csv
34,43,rectangle,low,low,212.0,0.8760330578512396,Java_low_results.csv
31,182,rectangle,low,low,265.0,0.9464285714285714,Java_low_results.csv
34,65,rectangle,low,low,232.0,0.9586776859504132,Java_low_results.csv
31,208,rectangle,low,low,265.0,0.949820788530466,Java_low_results.csv
31,132,rectangle,low,low,377.0,0.921760391198044,Java_low_results.csv
31,63,rectangle,low,low,271.0,0.9644128113879004,Java_low_results.csv
34,71,rectangle,low,low,227.0,0.9380165289256198,Java_low_results.csv
34,74,rectangle,low,low,218.0,0.9008264462809916,Java_low_results.csv
31,176,rectangle,low,low,447.0,0.8869047619047619,Java_low_results.csv
34,67,rectangle,low,low,209.0,0.8636363636363636,Java_low_results.csv
31,126,rectangle,low,low,286.0,0.959731543624161,Java_low_results.csv
34,44,rectangle,low,low,212.0,0.8760330578512396,Java_low_results.csv
31,180,rectangle,low,low,237.0,0.8494623655913979,Java_low_results.csv
34,56,rectangle,low,low,200.0,0.8264462809917356,Java_low_results.csv
34,94,rectangle,low,low,225.0,0.9297520661157024,Java_low_results.csv
31,162,rectangle,low,low,256.0,0.9175627240143368,Java_low_results.csv
34,99,rectangle,low,low,212.0,0.8760330578512396,Java_low_results.csv
34,78,rectangle,low,low,226.0,0.9338842975206612,Java_low_results.csv
34,101,rectangle,low,low,216.0,0.8925619834710744,Java_low_results.csv
34,64,rectangle,low,low,341.0,0.924119241192412,Java_low_results.csv
34,107,rectangle,low,low,217.0,0.8966942148760331,Java_low_results.csv
34,77,rectangle,low,low,316.0,0.8977272727272727,Java_low_results.csv
34,60,rectangle,low,low,222.0,0.8671875,Java_low_results.csv
34,37,rectangle,low,low,216.0,0.8925619834710744,Java_low_results.csv
34,140,rectangle,low,low,211.0,0.871900826446281,Java_low_results.csv
34,104,rectangle,low,low,254.0,0.8943661971830986,Java_low_results.csv
34,164,rectangle,low,low,221.0,0.9132231404958676,Java_low_results.csv
34,180,rectangle,low,low,217.0,0.8966942148760331,Java_low_results.csv
34,162,rectangle,low,low,240.0,0.9090909090909092,Java_low_results.csv
34,124,rectangle,low,low,229.0,0.9462809917355371,Java_low_results.csv
31,179,rectangle,low,low,447.0,0.8993963782696177,Java_low_results.csv
34,132,rectangle,low,low,379.0,0.9266503667481664,Java_low_results.csv
34,200,rectangle,low,low,224.0,0.9256198347107438,Java_low_results.csv
35,37,rectangle,low,low,186.0,0.8532110091743119,Java_low_results.csv
35,43,rectangle,low,low,158.0,0.9239766081871345,Java_low_results.csv
34,208,rectangle,low,low,243.0,0.9274809160305344,Java_low_results.csv
34,41,rectangle,low,low,279.0,0.8773584905660378,Java_low_results.csv
35,65,rectangle,low,low,160.0,0.935672514619883,Java_low_results.csv
35,41,rectangle,low,low,262.0,0.8238993710691824,Java_low_results.csv
34,138,rectangle,low,low,224.0,0.9256198347107438,Java_low_results.csv
35,67,rectangle,low,low,159.0,0.9298245614035088,Java_low_results.csv
35,74,rectangle,low,low,146.0,0.8538011695906432,Java_low_results.csv
35,60,rectangle,low,low,214.0,0.8359375,Java_low_results.csv
34,63,rectangle,low,low,256.0,0.9110320284697508,Java_low_results.csv
34,176,rectangle,low,low,438.0,0.8690476190476191,Java_low_results.csv
35,56,rectangle,low,low,154.0,0.9005847953216374,Java_low_results.csv
35,44,rectangle,low,low,154.0,0.9005847953216374,Java_low_results.csv
35,63,rectangle,low,low,248.0,0.8825622775800712,Java_low_results.csv
34,179,rectangle,low,low,458.0,0.921529175050302,Java_low_results.csv
34,79,rectangle,low,low,239.0,0.9053030303030304,Java_low_results.csv
35,94,rectangle,low,low,165.0,0.9649122807017544,Java_low_results.csv
34,182,rectangle,low,low,262.0,0.9357142857142856,Java_low_results.csv
35,71,rectangle,low,low,158.0,0.9239766081871345,Java_low_results.csv
35,64,rectangle,low,low,349.0,0.94579945799458,Java_low_results.csv
34,128,rectangle,low,low,227.0,0.934156378600823,Java_low_results.csv
35,99,rectangle,low,low,157.0,0.907514450867052,Java_low_results.csv
35,79,rectangle,low,low,225.0,0.8522727272727273,Java_low_results.csv
35,77,rectangle,low,low,307.0,0.8721590909090909,Java_low_results.csv
