exp_a,exp_b,stimulus,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration,source_file
70,36,vehicle,medium,none,0.9904161632525224,0.7615490259318204,0.9873443700073206,0.9324239214765594,0.7666666666666667,Java_medium_Java_none_results.csv
61,196,vehicle,medium,none,0.9895797621622976,0.7202485957075302,0.9855343005091856,0.8628992017883955,0.75,Java_medium_Java_none_results.csv
70,30,vehicle,medium,none,0.9912306164551822,0.7440548350447431,0.9870534647220228,0.9454271485535402,0.6969696969696969,Java_medium_Java_none_results.csv
70,5,vehicle,medium,none,0.9922872902398931,0.7832513814374367,0.9901549520585944,0.9294472018026224,0.7272727272727273,Java_medium_Java_none_results.csv
70,3,vehicle,medium,none,0.9937163075588512,0.7148644880746463,0.9918122951756794,0.946485573168708,0.75,Java_medium_Java_none_results.csv
70,110,vehicle,medium,none,0.993686297802414,0.7641636744491008,0.9917105338544192,0.9022738614036184,0.6730769230769231,Java_medium_Java_none_results.csv
66,154,vehicle,medium,none,0.9924006405603568,0.5619460068933302,0.9892481291661688,0.9096571660798614,0.7037037037037037,Java_medium_Java_none_results.csv
66,196,vehicle,medium,none,0.9891161132768532,0.5680662476076663,0.9826280529835107,0.9085673724621124,0.736842105263158,Java_medium_Java_none_results.csv
70,204,vehicle,medium,none,0.9892519793758168,0.5577338478210416,0.9853869978940524,0.8913264429456748,0.8090909090909091,Java_medium_Java_none_results.csv
70,106,vehicle,medium,none,0.9903775462184856,0.6917729502961711,0.9862285662058008,0.9082737150857954,0.7777777777777779,Java_medium_Java_none_results.csv
70,189,vehicle,medium,none,0.9917846786724726,0.6738688133087233,0.989611670011689,0.9658042634993518,0.588235294117647,Java_medium_Java_none_results.csv
70,201,vehicle,medium,none,0.99328858796246,0.7775411205425844,0.9912643564001375,0.9223464435262436,0.6530100334448161,Java_medium_Java_none_results.csv
70,216,vehicle,medium,none,0.99006199975609,0.7479779535907252,0.9873743114713384,0.9509711336606632,0.7777777777777779,Java_medium_Java_none_results.csv
70,96,vehicle,medium,none,0.9919154459635812,0.7139595283217709,0.989981370463723,0.9413241811817366,0.5384615384615385,Java_medium_Java_none_results.csv
70,163,vehicle,medium,none,0.990665152124412,0.7310154659300405,0.9894906758082994,0.9299643581805352,0.6483516483516484,Java_medium_Java_none_results.csv
70,181,vehicle,medium,none,0.9937391135007272,0.7552829717787257,0.991376109484462,0.90381204691035,0.6923076923076923,Java_medium_Java_none_results.csv
70,116,vehicle,medium,none,0.99277102643779,0.7163110940505764,0.989853695839566,0.9062472694949189,0.5957446808510638,Java_medium_Java_none_results.csv
70,59,vehicle,medium,none,0.9898196630225689,0.710192675278571,0.9856944577315684,0.917468924145426,0.6428571428571428,Java_medium_Java_none_results.csv
61,154,vehicle,medium,none,0.992310112649418,0.6748824915850525,0.9889863071976648,0.9209790747635112,0.7272727272727273,Java_medium_Java_none_results.csv
70,141,vehicle,medium,none,0.9912956468387316,0.7809096113811251,0.9881000916499924,0.9230021168938264,0.5625,Java_medium_Java_none_results.csv
70,211,vehicle,medium,none,0.9928446739526672,0.6883094694887222,0.991571457206266,0.8954098362132881,0.6363636363636364,Java_medium_Java_none_results.csv
70,12,vehicle,medium,none,0.9920255228537964,0.691718873732245,0.990699672739787,0.9148745444087388,0.625,Java_medium_Java_none_results.csv
72,93,vehicle,medium,none,0.993042428341836,0.5814306034041938,0.9889106287510588,0.8724595670133909,0.7391304347826088,Java_medium_Java_none_results.csv
72,28,vehicle,medium,none,0.9918607482455538,0.6456015808725828,0.9894385744569438,0.9198052448496202,0.625,Java_medium_Java_none_results.csv
70,196,vehicle,medium,none,0.9896437783015148,0.6946378445401413,0.9859327791941924,0.8789589175417297,0.7391304347826088,Java_medium_Java_none_results.csv
72,36,vehicle,medium,none,0.992156205397135,0.6742783377005797,0.9913148944946382,0.8803172786360168,0.75,Java_medium_Java_none_results.csv
72,110,vehicle,medium,none,0.9927735329694224,0.6566650879850613,0.9909689440574072,0.899627292868849,0.7142857142857143,Java_medium_Java_none_results.csv
72,30,vehicle,medium,none,0.9925419448915008,0.6969652870623524,0.9907780375519002,0.9115411505269077,0.7272727272727273,Java_medium_Java_none_results.csv
70,154,vehicle,medium,none,0.9925315386496076,0.6705598324033983,0.990730043363532,0.9036577931510242,0.736842105263158,Java_medium_Java_none_results.csv
72,3,vehicle,medium,none,0.993040207090276,0.7051278326906216,0.9908024311098952,0.9094816190662476,0.736842105263158,Java_medium_Java_none_results.csv
72,5,vehicle,medium,none,0.9928465261229692,0.7040550154227954,0.9909531588462248,0.923376135307499,0.736842105263158,Java_medium_Java_none_results.csv
